system:index,Code,FID_1,FeatureCla,city_name,count_0,count_1,count_3,count_4,count_5,country_iso3,hasPlace,mean_0,mean_1,mean_3,mean_4,mean_5,pop_2010,region,un_region,.geo
0000955da531e406cf97,691,7594,Urban area,Malatya,65,125,5,245,24,TUR,20,0.6135027149359186,0.8734339202169307,0.34602607454381695,1.176178984484877,0.6978856684297836,414521,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
000083adfae3474a6b28,692,7561,Urban area,Elazig,70,99,19,82,43,TUR,20,0.566523098532,0.7368046084914089,0.6246799888997999,0.9871357612092789,0.699304405123206,327940,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000a95faf60906ab12c,2675,8080,Urban area,Tokat,73,74,1,53,21,TUR,15,0.632880954141755,0.7860236740845485,0.7811594586247708,1.0490856252771121,0.7247511263378695,135332,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000db3095a1c9d156e8,2687,8012,Urban area,Karabuk,105,112,0,148,45,TUR,20,0.33022649009671634,0.5821270639582344,,0.4183480994833214,-0.13853054452416344,108304,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000257ba0810b8746d2,2679,8067,Urban area,Corum,28,54,2,111,22,TUR,15,1.2797324305859576,1.3384178838823817,1.3128822735093042,1.6002011368401894,1.5908618608077587,214916,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
00009204681cea94955d,189,8001,Urban area,Samsun,277,331,7,286,31,TUR,20,0.2496385481320223,0.24750543422576846,0.286837892258221,0.431257800461486,0.35665128645446353,487652,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000c4c7cb53c5372fd6,2683,7824,Urban area,Sevastopol,410,324,241,245,72,UKR,20,0.8071428386812309,1.3484891438505118,0.6797295326848669,1.1991516291061162,1.4330379096676138,337428,Europe and Japan (E&J),Europe,"{""type"":""MultiPoint"",""coordinates"":[]}"
00001f5f8bcf6318bdb7,2686,7998,Urban area,Zonguldak,68,81,0,83,8,TUR,20,0.3506033677755223,0.33606779992100294,,0.5736826235207143,0.030092486349464747,108840,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000a5a886f0dbfeca17,696,8384,Urban area,Duzce,79,96,2,95,27,TUR,15,0.552735916407766,0.5991962216000356,0.2478116110575499,0.9983386329028965,0.8379024391556553,135444,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
000090febf731259d341,2688,8054,Urban area,Bolu,10,51,0,58,15,TUR,20,1.0538110403448777,1.5241569792813743,,1.799766003823055,1.3756899175211466,117856,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
